Stationsname,county,Statiosname_long,lat,long,date,wbi,type
Balingen-Bronnhaupten,Baden-Württemberg,"Balingen-Bronnhaupten, Baden-Württemberg",48.2498545,8.8167801,2022-07-15,3,predicted
Laupheim,Baden-Württemberg,"Laupheim, Baden-Württemberg",48.2303503,9.8829174,2022-07-15,3,predicted
Elzach-Fisnacht,Baden-Württemberg,"Elzach-Fisnacht, Baden-Württemberg",48.1718384,8.0718039,2022-07-15,3,predicted
Rottweil,Baden-Württemberg,"Rottweil, Baden-Württemberg",48.1652577,8.628453,2022-07-15,3,predicted
Meßstetten-Appental,Baden-Württemberg,"Meßstetten-Appental, Baden-Württemberg",48.1808093,8.9629934,2022-07-15,3,predicted
Altheim (Kreis Biberach),Baden-Württemberg,"Altheim (Kreis Biberach), Baden-Württemberg",48.1435986,9.4498522,2022-07-15,3,predicted
Emmendingen-Mundingen,Baden-Württemberg,"Emmendingen-Mundingen, Baden-Württemberg",48.1351284,7.8330412,2022-07-15,3,predicted
Klippeneck,Baden-Württemberg,"Klippeneck, Baden-Württemberg",48.105,8.755833,2022-07-15,3,predicted
Sigmaringen-Laiz,Baden-Württemberg,"Sigmaringen-Laiz, Baden-Württemberg",48.080532,9.19778,2022-07-15,3,predicted
Villingen-Schwenningen,Baden-Württemberg,"Villingen-Schwenningen, Baden-Württemberg",48.0594021,8.4640869,2022-07-15,3,predicted
Freiburg,Baden-Württemberg,"Freiburg, Baden-Württemberg",47.9990077,7.8421043,2022-07-15,4,predicted
Buchenbach,Baden-Württemberg,"Buchenbach, Baden-Württemberg",47.9609204,8.0094386,2022-07-15,3,predicted
Pfullendorf,Baden-Württemberg,"Pfullendorf, Baden-Württemberg",47.925227,9.2486506,2022-07-15,3,predicted
Geisingen,Baden-Württemberg,"Geisingen, Baden-Württemberg",47.9230362,8.6489943,2022-07-15,3,predicted
Lenzkirch-Ruhbühl,Baden-Württemberg,"Lenzkirch-Ruhbühl, Baden-Württemberg",47.8586033,8.2285542,2022-07-15,3,predicted
Müllheim,Baden-Württemberg,"Müllheim, Baden-Württemberg",47.8091623,7.6180353,2022-07-15,3,predicted
Weingarten (Kreis Ravensburg),Baden-Württemberg,"Weingarten (Kreis Ravensburg), Baden-Württemberg",47.8096019,9.6379832,2022-07-15,3,predicted
Leutkirch-Herlazhofen,Baden-Württemberg,"Leutkirch-Herlazhofen, Baden-Württemberg",47.7926397,10.0132829,2022-07-15,3,predicted
Singen,Baden-Württemberg,"Singen, Baden-Württemberg",47.7670971,8.8722387,2022-07-15,4,predicted
Dachsberg-Wolpadingen,Baden-Württemberg,"Dachsberg-Wolpadingen, Baden-Württemberg",47.7000267,8.1069824,2022-07-15,3,predicted
Konstanz,Baden-Württemberg,"Konstanz, Baden-Württemberg",47.6779808,9.1736741,2022-07-15,3,predicted
Friedrichshafen-Unterraderach,Baden-Württemberg,"Friedrichshafen-Unterraderach, Baden-Württemberg",47.6848801,9.4448123,2022-07-15,3,predicted
Wutöschingen-Ofteringen,Baden-Württemberg,"Wutöschingen-Ofteringen, Baden-Württemberg",47.6776812,8.3788135,2022-07-15,4,predicted
Rheinfelden,Baden-Württemberg,"Rheinfelden, Baden-Württemberg",47.5896468,7.768779,2022-07-15,4,predicted
Freudenberg-Boxtal/Main,Baden-Württemberg,"Freudenberg-Boxtal/Main, Baden-Württemberg",49.764186,9.4031448,2022-07-16,4,predicted
Buchen (Kreis Neckar-Odenwald),Baden-Württemberg,"Buchen (Kreis Neckar-Odenwald), Baden-Württemberg",49.5241354,9.3250344,2022-07-16,3,predicted
Mannheim,Baden-Württemberg,"Mannheim, Baden-Württemberg",49.4874592,8.4660395,2022-07-16,4,predicted
Bad Mergentheim-Neunkirchen,Baden-Württemberg,"Bad Mergentheim-Neunkirchen, Baden-Württemberg",49.474782,9.7706769,2022-07-16,4,predicted
Niederstetten,Baden-Württemberg,"Niederstetten, Baden-Württemberg",49.3994656,9.9194444,2022-07-16,4,predicted
Ingelfingen-Stachenhausen,Baden-Württemberg,"Ingelfingen-Stachenhausen, Baden-Württemberg",49.335386,9.700694,2022-07-16,4,predicted
Waibstadt,Baden-Württemberg,"Waibstadt, Baden-Württemberg",49.30042,8.9197318,2022-07-16,3,predicted
Waghäusel-Kirrlach,Baden-Württemberg,"Waghäusel-Kirrlach, Baden-Württemberg",49.2430481,8.5462017,2022-07-16,4,predicted
Öhringen,Baden-Württemberg,"Öhringen, Baden-Württemberg",49.199931,9.5029492,2022-07-16,4,predicted
Kirchberg-Herboldshausen/Jagst,Baden-Württemberg,"Kirchberg-Herboldshausen/Jagst, Baden-Württemberg",49.17791,9.976557,2022-07-16,3,predicted
Eppingen-Elsenz,Baden-Württemberg,"Eppingen-Elsenz, Baden-Württemberg",49.175512,8.831732,2022-07-16,3,predicted
Obersulm-Willsbach,Baden-Württemberg,"Obersulm-Willsbach, Baden-Württemberg",49.1346278,9.3570644,2022-07-16,3,predicted
Großerlach-Mannenweiler,Baden-Württemberg,"Großerlach-Mannenweiler, Baden-Württemberg",49.0216948,9.6020549,2022-07-16,4,predicted
Ellwangen-Rindelbach,Baden-Württemberg,"Ellwangen-Rindelbach, Baden-Württemberg",48.9879138,10.127076,2022-07-16,4,predicted
Rheinstetten,Baden-Württemberg,"Rheinstetten, Baden-Württemberg",48.9618109,8.292246,2022-07-16,4,predicted
Mühlacker,Baden-Württemberg,"Mühlacker, Baden-Württemberg",48.948938,8.8524245,2022-07-16,4,predicted
Sachsenheim,Baden-Württemberg,"Sachsenheim, Baden-Württemberg",48.9603579,9.0643208,2022-07-16,3,predicted
Pforzheim-Ispringen,Baden-Württemberg,"Pforzheim-Ispringen, Baden-Württemberg",48.9189539,8.6687552,2022-07-16,3,predicted
Kaisersbach-Cronhütte,Baden-Württemberg,"Kaisersbach-Cronhütte, Baden-Württemberg",48.9150639,9.6864635,2022-07-16,4,predicted
Stuttgart (Schnarrenberg),Baden-Württemberg,"Stuttgart (Schnarrenberg), Baden-Württemberg",48.828889,9.204167,2022-07-16,3,predicted
